"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C32,C39";"0402C";2;"10n";;;
2;"Q1";"SOT-23-3";1;"SSM3J358R,LF";;;
3;"C26,C28,C5,C37,C20,C10,C24,C29,C25,C27,C12,C14,C23,C15,C6,C19,C11,C21,C7,C38,C30,C35,C31";"0402C";23;"100n";;;
4;"JP1,JP2";"SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK";2;"SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK";;;
5;"C22,C4,C36,C3,C34";"0402C";5;"1u";;;
6;"K1,K2";"Castellated_holes_Inkplate";2;"Castellated_hole_Inkplate";;;
7;"X2";"CRYSTAL_3215";1;"32.768kHz";;;
8;"C1,C2";"0402C";2;"4u7";;;
9;"C16,C8";"0603C";2;"20p";;;
10;"FB1";"0603L";1;"FCM 1608KF-601T03";;;
11;"C18,C13";"0402C";2;"GRM155Z71A225KE01D";;;
12;"C33,C40";"0402C";2;"1n";;;
13;"C9,C17";"0603C";2;"7p5";;;
14;"U2";"TSOP-54";1;"W9825G6KH-6";;;
15;"R1";"0603R";1;"100";;;
16;"U1";"LQFP-144";1;"STM32H743ZIT6";;;
17;"X1";"CRYSTAL_3225__4_PAD";1;"16MHz";;;
18;"R2";"0603R";1;"100k";;;
